"","rgn1","r2","coef","range"
"weekday화요일6","대구광역시",0.800261465239061,-1.29565150623933,1.53908451920469
"mean_fee6","대구광역시",0.800261465239061,0.00279886555710578,1.53908451920469
"(Intercept)7","서울특별시",0.421895389463441,47.0795448309585,3.29939567510013
"rider_cnt7","서울특별시",0.421895389463441,-0.00202905794274553,3.29939567510013
"ord_cnt7","서울특별시",0.421895389463441,2.59691177774674e-05,3.29939567510013
"weekday목요일7","서울특별시",0.421895389463441,-3.12240115542131,3.29939567510013
"weekday수요일7","서울특별시",0.421895389463441,-3.473601323436,3.29939567510013
"weekday월요일7","서울특별시",0.421895389463441,-3.1585421893848,3.29939567510013
"weekday일요일7","서울특별시",0.421895389463441,-2.14766966336819,3.29939567510013
"weekday토요일7","서울특별시",0.421895389463441,-1.70229385279744,3.29939567510013
"weekday화요일7","서울특별시",0.421895389463441,-1.21529825788602,3.29939567510013
"mean_fee7","서울특별시",0.421895389463441,0.00194947691140068,3.29939567510013
"(Intercept)8","세종특별자치시",0.624425765910983,7.52527595218362,2.58588791494196
"rider_cnt8","세종특별자치시",0.624425765910983,-0.0647898323810483,2.58588791494196
"ord_cnt8","세종특별자치시",0.624425765910983,0.00755679066556857,2.58588791494196
"weekday목요일8","세종특별자치시",0.624425765910983,-3.10981329053324,2.58588791494196
"weekday수요일8","세종특별자치시",0.624425765910983,-2.46704530387878,2.58588791494196
"weekday월요일8","세종특별자치시",0.624425765910983,-1.40961194876976,2.58588791494196
"weekday일요일8","세종특별자치시",0.624425765910983,-3.32536207267351,2.58588791494196
"weekday토요일8","세종특별자치시",0.624425765910983,-2.34442546243566,2.58588791494196
"weekday화요일8","세종특별자치시",0.624425765910983,-2.61637820805835,2.58588791494196
"mean_fee8","세종특별자치시",0.624425765910983,0.00462235559735188,2.58588791494196
"(Intercept)9","강원도",0.762654274920327,-61.6588959785543,1.24982383036951
"rider_cnt9","강원도",0.762654274920327,-0.0140454787770654,1.24982383036951
"ord_cnt9","강원도",0.762654274920327,0.00839689292151218,1.24982383036951
"weekday목요일9","강원도",0.762654274920327,1.39866617345596,1.24982383036951
"weekday수요일9","강원도",0.762654274920327,1.14731647857498,1.24982383036951
"weekday월요일9","강원도",0.762654274920327,0.669310934934169,1.24982383036951
"weekday일요일9","강원도",0.762654274920327,-4.47782175094239,1.24982383036951
"weekday토요일9","강원도",0.762654274920327,-2.37008518458207,1.24982383036951
"weekday화요일9","강원도",0.762654274920327,1.72110905833759,1.24982383036951
"mean_fee9","강원도",0.762654274920327,0.0142357072355978,1.24982383036951
"(Intercept)10","울산광역시",0.874974887544644,-2.09158615229355,1.97803680901667
"rider_cnt10","울산광역시",0.874974887544644,-0.0353684337898076,1.97803680901667
"ord_cnt10","울산광역시",0.874974887544644,0.00767043981538078,1.97803680901667
"weekday목요일10","울산광역시",0.874974887544644,-0.195391475727141,1.97803680901667
"weekday수요일10","울산광역시",0.874974887544644,-0.294354613336223,1.97803680901667
"weekday월요일10","울산광역시",0.874974887544644,0.0578618823552432,1.97803680901667
"weekday일요일10","울산광역시",0.874974887544644,-4.07917890542002,1.97803680901667
"weekday토요일10","울산광역시",0.874974887544644,-2.73630247181724,1.97803680901667
"weekday화요일10","울산광역시",0.874974887544644,0.977170045586777,1.97803680901667
"mean_fee10","울산광역시",0.874974887544644,0.00512933425978939,1.97803680901667
"(Intercept)11","전라남도",0.427556913568635,7.44328835665092,1.94741968700512
"rider_cnt11","전라남도",0.427556913568635,-0.0718690160955166,1.94741968700512
"ord_cnt11","전라남도",0.427556913568635,0.00529370438660712,1.94741968700512
"weekday목요일11","전라남도",0.427556913568635,-1.03543426784639,1.94741968700512
"weekday수요일11","전라남도",0.427556913568635,-1.2209697026137,1.94741968700512
"weekday월요일11","전라남도",0.427556913568635,-1.5119502079677,1.94741968700512
"weekday일요일11","전라남도",0.427556913568635,-0.871085484904615,1.94741968700512
"weekday토요일11","전라남도",0.427556913568635,-0.726608195768612,1.94741968700512
"weekday화요일11","전라남도",0.427556913568635,-0.14837318629365,1.94741968700512
"mean_fee11","전라남도",0.427556913568635,0.0047956917220115,1.94741968700512
"(Intercept)12","광주광역시",0.800850997097839,-10.0806799222758,2.56130367754659
"rider_cnt12","광주광역시",0.800850997097839,-0.00148331223075636,2.56130367754659
"ord_cnt12","광주광역시",0.800850997097839,0.00154111689135568,2.56130367754659
"weekday목요일12","광주광역시",0.800850997097839,-0.684390528726635,2.56130367754659
"weekday수요일12","광주광역시",0.800850997097839,-0.39150414293685,2.56130367754659
"weekday월요일12","광주광역시",0.800850997097839,-0.472623622620644,2.56130367754659
"weekday일요일12","광주광역시",0.800850997097839,-3.40480419440927,2.56130367754659
"weekday토요일12","광주광역시",0.800850997097839,-2.40567710471568,2.56130367754659
"weekday화요일12","광주광역시",0.800850997097839,-0.362040206779818,2.56130367754659
"mean_fee12","광주광역시",0.800850997097839,0.0070097808244749,2.56130367754659
"(Intercept)13","경상북도",0.552289792332863,11.5419194609236,2.17933339772503
"rider_cnt13","경상북도",0.552289792332863,-0.0653780661895556,2.17933339772503
"ord_cnt13","경상북도",0.552289792332863,0.00594038287731182,2.17933339772503
"weekday목요일13","경상북도",0.552289792332863,-2.20865966156008,2.17933339772503
"weekday수요일13","경상북도",0.552289792332863,-0.91798296379595,2.17933339772503
"weekday월요일13","경상북도",0.552289792332863,-1.69434642858288,2.17933339772503
"weekday일요일13","경상북도",0.552289792332863,-2.99534006194217,2.17933339772503
"weekday토요일13","경상북도",0.552289792332863,-1.36502615172677,2.17933339772503
"weekday화요일13","경상북도",0.552289792332863,-0.781560012359094,2.17933339772503
"mean_fee13","경상북도",0.552289792332863,0.0047870740205275,2.17933339772503
"(Intercept)14","대전광역시",0.48152888847987,14.8218308793067,4.26438024771541
"rider_cnt14","대전광역시",0.48152888847987,-0.0206085899516214,4.26438024771541
"ord_cnt14","대전광역시",0.48152888847987,0.00151397104616655,4.26438024771541
"weekday목요일14","대전광역시",0.48152888847987,-1.53921552090119,4.26438024771541
"weekday수요일14","대전광역시",0.48152888847987,-1.01106408065083,4.26438024771541
"weekday월요일14","대전광역시",0.48152888847987,-1.61160477376744,4.26438024771541
"weekday일요일14","대전광역시",0.48152888847987,-4.82805244363565,4.26438024771541
"weekday토요일14","대전광역시",0.48152888847987,-3.80042393353101,4.26438024771541
"weekday화요일14","대전광역시",0.48152888847987,2.09275336565402,4.26438024771541
"mean_fee14","대전광역시",0.48152888847987,0.00302276200483598,4.26438024771541
