"","rgn1_nm","r2","coef","range"
"weekday토요일10","울산광역시",0.11892328988476,-0.676437401069832,3.22144895647492
"weekday화요일10","울산광역시",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee10","울산광역시",0.11892328988476,0.00133945735155098,3.22144895647492
"(Intercept)11","전라남도",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt11","전라남도",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt11","전라남도",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일11","전라남도",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일11","전라남도",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일11","전라남도",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일11","전라남도",0.11892328988476,-0.501522539682017,3.22144895647492
"weekday토요일11","전라남도",0.11892328988476,-0.676437401069832,3.22144895647492
"weekday화요일11","전라남도",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee11","전라남도",0.11892328988476,0.00133945735155098,3.22144895647492
"(Intercept)12","광주광역시",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt12","광주광역시",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt12","광주광역시",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일12","광주광역시",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일12","광주광역시",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일12","광주광역시",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일12","광주광역시",0.11892328988476,-0.501522539682017,3.22144895647492
"weekday토요일12","광주광역시",0.11892328988476,-0.676437401069832,3.22144895647492
"weekday화요일12","광주광역시",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee12","광주광역시",0.11892328988476,0.00133945735155098,3.22144895647492
"(Intercept)13","경상북도",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt13","경상북도",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt13","경상북도",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일13","경상북도",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일13","경상북도",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일13","경상북도",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일13","경상북도",0.11892328988476,-0.501522539682017,3.22144895647492
"weekday토요일13","경상북도",0.11892328988476,-0.676437401069832,3.22144895647492
"weekday화요일13","경상북도",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee13","경상북도",0.11892328988476,0.00133945735155098,3.22144895647492
"(Intercept)14","대전광역시",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt14","대전광역시",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt14","대전광역시",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일14","대전광역시",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일14","대전광역시",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일14","대전광역시",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일14","대전광역시",0.11892328988476,-0.501522539682017,3.22144895647492
"weekday토요일14","대전광역시",0.11892328988476,-0.676437401069832,3.22144895647492
"weekday화요일14","대전광역시",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee14","대전광역시",0.11892328988476,0.00133945735155098,3.22144895647492
"(Intercept)15","경기도",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt15","경기도",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt15","경기도",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일15","경기도",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일15","경기도",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일15","경기도",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일15","경기도",0.11892328988476,-0.501522539682017,3.22144895647492
"weekday토요일15","경기도",0.11892328988476,-0.676437401069832,3.22144895647492
"weekday화요일15","경기도",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee15","경기도",0.11892328988476,0.00133945735155098,3.22144895647492
"(Intercept)16","충청남도",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt16","충청남도",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt16","충청남도",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일16","충청남도",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일16","충청남도",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일16","충청남도",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일16","충청남도",0.11892328988476,-0.501522539682017,3.22144895647492
"weekday토요일16","충청남도",0.11892328988476,-0.676437401069832,3.22144895647492
"weekday화요일16","충청남도",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee16","충청남도",0.11892328988476,0.00133945735155098,3.22144895647492
